name,link,profile_photo,department,disciplines
Mingyu Zhang,https://www.researchgate.net/profile/Mingyu-Zhang-7,https://i1.rgstatic.net/ii/profile.image/272796483846150-1442051158263_Q64/Mingyu-Zhang-7.jpg,Research Institute of Powder Metallurgy,"['Nanomaterials Synthesis', 'Mechanical Properties', 'Environment']"
Haoran Gong,https://www.researchgate.net/profile/Haoran-Gong,https://i1.rgstatic.net/ii/profile.image/272796131524636-1442051074428_Q64/Haoran-Gong.jpg,State Key Laboratory of Powder Metallurgy,[]
Zhangzhe Peng,https://www.researchgate.net/profile/Zhangzhe-Peng,https://i1.rgstatic.net/ii/profile.image/272798333534216-1442051599329_Q64/Zhangzhe-Peng.jpg,Department of Nephrology,[]
Jin Qin,https://www.researchgate.net/profile/Jin-Qin-12,https://i1.rgstatic.net/ii/profile.image/272807644889089-1442053819092_Q64/Jin-Qin-12.jpg,School of Traffic and Transportation Engineering,"['Simulated Annealing', 'Network Design', 'Environmental Impact Assessment']"
Lei Liu,https://www.researchgate.net/profile/Lei-Liu-165,https://i1.rgstatic.net/ii/profile.image/273178740129793-1442142295696_Q64/Lei-Liu-165.jpg,School of Geoscience and Info-Physics,"['Tectonics', 'Field Geology', 'Geological Mapping']"
Kehui Sun,https://www.researchgate.net/profile/Kehui-Sun,https://i1.rgstatic.net/ii/profile.image/322112470880259-1453809005257_Q64/Kehui-Sun.jpg,School of Physics and Electronics,"['Electronic Engineering', 'Information and Communication Technology', 'Electronics  and Communication Engineering']"
Mei Fang,https://www.researchgate.net/profile/Mei-Fang,https://i1.rgstatic.net/ii/profile.image/896323528192005-1590711590548_Q64/Mei-Fang.jpg,School of Electronics and Physics,"['Magnetite Nanoparticles', 'Nanoparticles', 'Alloys']"
Qian Li,https://www.researchgate.net/profile/Qian-Li-105,https://i1.rgstatic.net/ii/profile.image/341996788043777-1458549796144_Q64/Qian-Li-105.jpg,,"['Silver', 'Gold', 'Oxidation']"
Biyan Chen,https://www.researchgate.net/profile/Biyan-Chen-3,https://i1.rgstatic.net/ii/profile.image/272830386405403-1442059241654_Q64/Biyan-Chen-3.jpg,School of Geoscience and Info-Physics,"['Atmospheric Measurements', 'Water Vapor', 'Global Navigation Satellite System ']"
Min Song,https://www.researchgate.net/profile/Min-Song-14,https://i1.rgstatic.net/ii/profile.image/377755150635009-1467075254449_Q64/Min-Song-14.jpg,State Key Laboratory of Powder Metallurgy,"['Grain Boundaries', 'Plasticity', 'Mechanical Properties']"
Yanni Tan,https://www.researchgate.net/profile/Yanni-Tan,https://i1.rgstatic.net/ii/profile.image/276940796776462-1443039239474_Q64/Yanni-Tan.jpg,State Key Laboratory of Powder Metallurgy,"['Material Characterization', 'Biomaterials', 'Dental Materials']"
Kai Yuan,https://www.researchgate.net/profile/Kai-Yuan,https://i1.rgstatic.net/ii/profile.image/387812084994049-1469473014884_Q64/Kai-Yuan.jpg,Xiangya Hospital,"['Genetics', 'Molecular Biology', 'Cell Biology']"
Jin-Gang Yu,https://www.researchgate.net/profile/Jin-Gang-Yu-2,https://i1.rgstatic.net/ii/profile.image/272828922593285-1442058892410_Q64/Jin-Gang-Yu-2.jpg,Institute of Chemistry and Chemical Engineering,[]
Kun Liu,https://www.researchgate.net/profile/Kun-Liu-46,https://i1.rgstatic.net/ii/profile.image/902676829175820-1592226335970_Q64/Kun-Liu-46.jpg,School of Minerals Processing and Bioengineering,"['Minerals', 'Nanoparticles', 'Material Characterization']"
Xiaojun Zhou,https://www.researchgate.net/profile/Xiaojun-Zhou-5,https://i1.rgstatic.net/ii/profile.image/530859351646209-1503578140374_Q64/Xiaojun-Zhou-5.jpg,School of Automation,"['Information Science', 'Engineering, Applied and Computational Mathematics', 'Signal, Image and Video Processing']"
Siyu Chen,https://www.researchgate.net/profile/Siyu-Chen-74,https://i1.rgstatic.net/ii/profile.image/276950045216772-1443041444678_Q64/Siyu-Chen-74.jpg,School of Mechanical and Electrical Engineering,[]
Junhui Li,https://www.researchgate.net/profile/Junhui-Li-9,https://i1.rgstatic.net/ii/profile.image/272839693565952-1442061460020_Q64/Junhui-Li-9.jpg,State Key Laboratory of High-performance Complex Manufacturing,[]
Jianqiang Wang,https://www.researchgate.net/profile/Jianqiang-Wang-12,https://i1.rgstatic.net/ii/profile.image/273695658737673-1442265538760_Q64/Jianqiang-Wang-12.jpg,School of Business,"['Management Science', 'Operations Management', 'Numbers']"
yu Zhibin,https://www.researchgate.net/profile/Yu-Zhibin,https://i1.rgstatic.net/ii/profile.image/272843325833226-1442062326954_Q64/Yu-Zhibin.jpg,Cancer invasion and metastasis,"['Tumor Biology', 'Glioma', 'Astrocytoma']"
Dou Zhang,https://www.researchgate.net/profile/Dou-Zhang-7,https://i1.rgstatic.net/ii/profile.image/273529263398928-1442225866502_Q64/Dou-Zhang-7.jpg,State Key Laboratory of Powder Metallurgy,"['Piezoelectric Ceramics', 'Ferroelectrics', 'Composites']"
Jinyang Fu,https://www.researchgate.net/profile/Jinyang-Fu,https://i1.rgstatic.net/ii/profile.image/277008354430978-1443055346776_Q64/Jinyang-Fu.jpg,Department of Tunnel Engineering,"['Numerical Modeling in Geotechnical Engineering', 'Tunneling', 'Geotechnical Engineering']"
Dong Qian,https://www.researchgate.net/profile/Dong-Qian-9,https://i1.rgstatic.net/ii/profile.image/277020958314496-1443058351269_Q64/Dong-Qian-9.jpg,School of Chemistry and Chemical Engineering,"['Lithium Ion Batteries', 'Graphene Oxide', 'Photocatalysts']"
Lingyun Yi,https://www.researchgate.net/profile/Lingyun-Yi,https://i1.rgstatic.net/ii/profile.image/11431281115654901-1675050144265_Q64/Lingyun-Yi.jpg,School of Minerals Processing and Bioengineering,"['Mineral Processing', 'Recycling', 'Extraction and Processing Industry']"
Xiao-yong Zhang,https://www.researchgate.net/profile/Xiao-Yong-Zhang,https://i1.rgstatic.net/ii/profile.image/272877576519688-1442070492522_Q64/Xiao-Yong-Zhang.jpg,State Key Laboratory of Powder Metallurgy,"['Metal Forming', 'Heat Treatment', 'Microstructure']"
Aidong Tang,https://www.researchgate.net/profile/Aidong-Tang-2,https://i1.rgstatic.net/ii/profile.image/273257953755137-1442161181443_Q64/Aidong-Tang-2.jpg,School of Chemistry and Chemical Engineering,"['Nanoparticles', 'Sol-gel Methods', 'Composites']"
Xiongbing Zu,https://www.researchgate.net/profile/Xiongbing-Zu,https://i1.rgstatic.net/ii/profile.image/272875705860107-1442070046721_Q64/Xiongbing-Zu.jpg,Department of Urology,"['Metastasis', 'Bladder Cancer']"
Qiuping Wei 魏秋平,https://www.researchgate.net/profile/Qiuping-Wei-weiqiuping,https://i1.rgstatic.net/ii/profile.image/439834754981889-1481876185629_Q64/Qiuping-Wei-weiqiuping.jpg, School of Materials Science and Engineering,"['Chemical Vapor Deposition', 'Thin Films and Nanotechnology', 'Thin Films']"
Meng-Qiu Long,https://www.researchgate.net/profile/Meng-Qiu-Long,https://i1.rgstatic.net/ii/profile.image/272891606466565-1442073837527_Q64/Meng-Qiu-Long.jpg,Institute of Super Microstructure and Ultrafast Process,"['Electronic Structure', 'Nanoelectronics', 'Condensed Matter Theory']"
Wangqing Wu,https://www.researchgate.net/profile/Wangqing-Wu,https://i1.rgstatic.net/ii/profile.image/11431281125757966-1678530117819_Q64/Wangqing-Wu.jpg,Department of Mechanical and Electrical Engineering,"['Mechanical Properties', 'Mechanical Testing', 'Microstructure']"
Zhuan li,https://www.researchgate.net/profile/Zhuan-Li-2,https://i1.rgstatic.net/ii/profile.image/282733633916930-1444420359472_Q64/Zhuan-Li-2.jpg,State Key Laboratory of Powder Metallurgy,"['Composites', 'Carbon', 'Materials']"
Jing Ouyang,https://www.researchgate.net/profile/Jing-Ouyang-7,https://i1.rgstatic.net/ii/profile.image/277096971685910-1443076474888_Q64/Jing-Ouyang-7.jpg,School of Minerals Processing and Bioengineering,"['Materials Chemistry', 'Mesoporous Materials', 'Nanotubes']"
Zhiming Li,https://www.researchgate.net/profile/Zhiming-Li-11,https://i1.rgstatic.net/ii/profile.image/273627731984400-1442249343637_Q64/Zhiming-Li-11.jpg, School of Materials Science and Engineering,"['Metallurgy', 'Alloys', 'Materials Processing']"
Chenze Liu,https://www.researchgate.net/profile/Chenze-Liu,https://i1.rgstatic.net/ii/profile.image/638925710299136-1529343168962_Q64/Chenze-Liu.jpg,State Key Laboratory of Powder Metallurgy,"['SEM Analysis', 'Materials Engineering', 'Material Characterization']"
Xinli Liu,https://www.researchgate.net/profile/Xinli-Liu-3,https://i1.rgstatic.net/ii/profile.image/595661091266562-1519028079692_Q64/Xinli-Liu-3.jpg, School of Materials Science and Engineering,"['Nanowires', 'Chemical Vapor Deposition', 'MOCVD']"
Yong Peng,https://www.researchgate.net/profile/Yong-Peng-13,https://i1.rgstatic.net/ii/profile.image/319975552684033-1453299524529_Q64/Yong-Peng-13.jpg,School of Traffic and Transportation Engineering,"['Vehicle Safety', 'Accident Analysis', 'Car']"
