name link department disciplines
"Teng Xue" https://www.researchgate.net/profile/Teng_Xue3 "School of Metallurgy and Environment" []
"Bi Luo" https://www.researchgate.net/profile/Bi-Luo "School of Metallurgy and Environment" "['Energy Storage', 'Nanomaterials Synthesis', 'Materials']"
"Hui Zhang" https://www.researchgate.net/profile/Hui-Zhang-427 "School of Metallurgy and Environment" []
"Linfeng Jin" https://www.researchgate.net/profile/Linfeng-Jin-4 "School of Metallurgy and Environment" "['Graphene', 'Material Characterization', 'Nanomaterials']"
"Qian Long" https://www.researchgate.net/profile/Qian-Long-7 "Department of Metallurgy and Environment" "['Environment', 'Sustainability', 'Environmental Management']"
"Xie Zheng" https://www.researchgate.net/profile/Xie-Zheng-8 "School of Metallurgy and Environment" "['Catalyst', 'Greenhouse Gases', 'Density Functional Theory']"
"Fengkang Wang" https://www.researchgate.net/profile/Fengkang-Wang-2 "School of Metallurgy and Environment" "['Materials', 'Material Characterization', 'Microstructure']"
"Zhuolin Du" https://www.researchgate.net/profile/Zhuolin-Du "School of Metallurgy and Environment" "['Lithium Battery']"
"Xuewen Wang" https://www.researchgate.net/profile/Xuewen-Wang-3 "School of Metallurgy and Environment" "['Leaching', 'Ion Exchange', 'Solvent Extraction']"
"Ling Ran" https://www.researchgate.net/profile/Ling-Ran-2 "School of Metallurgy and Environment" "['Thermal Analysis', 'Materials']"
"Xinsheng Wu" https://www.researchgate.net/profile/Xinsheng-Wu-2 "school of metallurgy and environment" "['Solvent Extraction', 'Separation Science']"
"Hongyu Liu" https://www.researchgate.net/profile/Hongyu-Liu-50 "School of Metallurgy and Environment" []
"Zhang Cheng" https://www.researchgate.net/profile/Zhang-Cheng-18 "School of Metallurgy and Environment," "['Material Characterization', 'Nanomaterials', 'Materials']"
"Ran Hongzhen" https://www.researchgate.net/profile/Ran-Hongzhen "Department of metallurgy and environment" "['Environment', 'Ecology and Evolution', 'Environmental Pollution']"
"Long Ye" https://www.researchgate.net/profile/Long-Ye-15 "School of Metallurgy and Environment" "['Chemical Processes']"
"Hua Long" https://www.researchgate.net/profile/Hua-Long-6 "school of metallurgy and environment" "['Extraction and Processing Industry', 'Separation Technology', 'Recycling']"
"Peng Wang" https://www.researchgate.net/profile/Peng-Wang-399 "School of Metallurgy and Environment" "['Leaching', 'Mineral Processing']"
"Bing Chen" https://www.researchgate.net/profile/Bing-Chen-48 "school of metallurgy and environment" ['Materials']
"Wang Hui" https://www.researchgate.net/profile/Wang_Hui108 "Institute of metallurgy and environment" "['Electrochemical Analysis']"
"Xiyun Yang" https://www.researchgate.net/profile/Xiyun-Yang-2 "School of metallurgy and environment" []
"Guanchao Wang" https://www.researchgate.net/profile/Guanchao-Wang-2 "Department of Metallurgy and environment" []
"Yueru Chen" https://www.researchgate.net/profile/Yueru-Chen-2 "Department of Metallurgy and Environment" []
"Yu Zhou" https://www.researchgate.net/profile/Yu-Zhou-121 "School of Metallurgy and Environment" "['Cyclic Voltammetry', 'Electrochemical Analysis', 'Nanomaterials']"
"Qingcheng Hu" https://www.researchgate.net/profile/Qingcheng-Hu-2 "College of Metallurgy and Environment" []
"Xu Kailong" https://www.researchgate.net/profile/Xu-Kailong-2 "School of Metallurgy and Environment" "['Synthesis', 'Porous Materials', 'Catalyst Synthesis']"
"Zhang Sijing" https://www.researchgate.net/profile/Zhang-Sijing-2 "School of metallurgy and environment" []
"Puhong Ye" https://www.researchgate.net/profile/Puhong-Ye "The School of Metallurgy and Environment" "['Leaching', 'Separation Technology', 'Mineral Processing']"
"Xinting Lai" https://www.researchgate.net/profile/Xinting-Lai-2 "school of metallurgy and environment" []
"Luqi Zeng" https://www.researchgate.net/profile/Luqi-Zeng-2 "school of metallurgy and environment" "['Precipitation', 'Environment', 'Solvent Extraction']"
"Shuheng Cao" https://www.researchgate.net/profile/Shuheng-Cao "School of Metallurgy and Environment" []
"Wang Chen" https://www.researchgate.net/profile/Wang-Chen-11 "Metallurgical and Environment School" []
"Zhongyuan Luo" https://www.researchgate.net/profile/Zhongyuan-Luo "Institute of metallurgy and environment" "['Polymers', 'Materials', 'Materials Processing']"
"Fei Niu" https://www.researchgate.net/profile/Fei_Niu4 "School of Metallurgy and Environment" "['X-ray Diffraction', 'Material Characterization', 'SEM Analysis']"
"Zeyu Luo" https://www.researchgate.net/profile/Zeyu-Luo "Department of Metallurgy and Environment" []
"Yuguang Pu" https://www.researchgate.net/profile/Yuguang-Pu "Department of Metallurgy and Environment" "['Extraction and Processing Industry', 'Extraction']"
"Yang Jian" https://www.researchgate.net/profile/Yang_Jian36 "Institute of metallurgy and environment" "['Cyclic Voltammetry', 'Electrodeposition', 'Electrochemical Analysis']"
"Tan Lei" https://www.researchgate.net/profile/Tan-Lei-2 "School of Metallurgy and Environment" "['Mobile Robotics']"
"Lew Chang" https://www.researchgate.net/profile/Lew-Chang "School of metallurgy and environment" ['Mining']
"Song Mengmeng" https://www.researchgate.net/profile/Song-Mengmeng "Institute of metallurgy and environment" []
"Yujun Wu" https://www.researchgate.net/profile/Yujun-Wu-5 "School of Metallurgy and Environment" "['Environment', 'Environmental Pollution', 'Sustainability']"
"Li Zhongchen" https://www.researchgate.net/profile/Li-Zhongchen-2 "school of metallurgy and environment" "['Materials', 'Advanced Materials', 'Metals']"
"Yun Li" https://www.researchgate.net/profile/Yun-Li-82 "School of Metallurgy and Environment" "['Extraction and Processing Industry', 'Mineral Processing', 'Processing Engineering']"
"Pengfei Shi" https://www.researchgate.net/profile/Pengfei_Shi4 "School of Metallurgy and Environment" []
"Weihan Yang" https://www.researchgate.net/profile/Weihan_Yang "school of metallurgy and environment" []
"Pc Cc" https://www.researchgate.net/profile/Pc-Cc-2 "School of Metallurgy and Environment" "['Environmental Impact Assessment', 'Sustainability']"
"Li Daqing" https://www.researchgate.net/profile/Li-Daqing-2 "school of metallurgy and environment" "['Materials', 'Advanced Materials', 'X-ray Diffraction']"
"Liu Rui Rui" https://www.researchgate.net/profile/Liu-Rui-Rui "College of Metallurgy and Environment" []
"Kemal Fariz Ramadhani" https://www.researchgate.net/profile/Kemal-Ramadhani "School of Metallurgy and Environment" []
"Jinbo Yang" https://www.researchgate.net/profile/Jinbo-Yang-8 "school of metallurgy and environment" []
"Zhang Yan" https://www.researchgate.net/profile/Zhang-Yan-165 "School of Metallurgy and Environment" []
"Fan Feng" https://www.researchgate.net/profile/Fan-Feng-41 "School of Metallurgy and Environment" []
"Hong Liu" https://www.researchgate.net/profile/Hong-Liu-129 "School of Metallurgical and Environment" ['Materials']
"Pan Weiming" https://www.researchgate.net/profile/Pan-Weiming "School of Metallurgy and Environment" []
"Kirsty Chenning" https://www.researchgate.net/profile/Kirsty-Chenning "School of Metallurgy and Environment" ['Nanomaterials']
"Ding Yuri" https://www.researchgate.net/profile/Ding-Yuri "College of Metallurgy and Environment" "['Catalyst Synthesis', 'Catalyst Characterization', 'Synthesis']"
"Wang Jinjing" https://www.researchgate.net/profile/Wang-Jinjing "School of Metallurgy and Environment" []
